Date, Time, TSB, TCB, SYS, LAG, IOU, GRN, THS, YAZ, TCT, CNC, MSG, TMI, TCP, IIL, FHG, SYM, LSC, PRN, EWM, TCM, ELT, HRG, TGP, WSU, IST, BAG, EVL, MCS, WLT, TCC
2021-04-14, 15:10, 809.76, 848.92, 478.15, 292.32, 148.08, 211.86, 330.46, 37.02, 223.48, 670.99, 155.53, 149.39, 275.65, 86.14, 567.59, 765.24, 363.93, 484.41, 269.08, 296.81, 184.97, 212.42, 90.59, 64.61, 315.31, 419.24, 380.58, 572.54, 457.87, 307.61
2021-04-14, 15:11, 809.85, 849.1, 478.05, 292.41, 148.19, 211.77, 330.59, 37.02, 223.23, 670.63, 155.62, 149.37, 275.75, 86.18, 566.89, 764.65, 363.71, 484.63, 268.97, 296.75, 185.07, 212.35, 90.59, 64.57, 315.35, 419.51, 380.58, 572.65, 457.82, 307.67
2021-04-14, 15:12, 810.06, 849.5, 477.86, 292.26, 148.08, 211.79, 330.65, 37.01, 223.25, 670.93, 155.72, 149.44, 275.65, 86.28, 566.42, 764.62, 364.27, 484.71, 269.01, 296.83, 185.22, 212.39, 90.75, 64.58, 315.18, 419.33, 380.6, 572.52, 458.07, 307.74
2021-04-14, 15:13, 809.73, 849.23, 477.81, 292.2, 148.08, 211.75, 330.46, 37, 223.23, 670.9, 155.71, 149.23, 275.79, 86.29, 567.31, 765.34, 364.09, 484.63, 268.99, 296.62, 185.18, 212.4, 90.69, 64.6, 315, 419.11, 380.68, 572.14, 457.82, 307.61
2021-04-14, 15:14, 809.91, 849.44, 477.49, 292.33, 148.22, 211.78, 330.16, 36.96, 223.21, 670.71, 155.76, 149.2, 275.38, 86.31, 567.41, 765.63, 364.18, 485.04, 268.82, 296.57, 185.16, 212.33, 90.69, 64.58, 315.02, 419.03, 380.91, 571.77, 457.99, 307.57
2021-04-14, 15:15, 810.44, 848.83, 477.39, 292.16, 148.13, 211.76, 330.59, 36.96, 223.23, 670.71, 155.77, 149.21, 275.88, 86.25, 567.41, 765.4, 364.56, 484.39, 269.03, 296.55, 184.99, 212.36, 90.69, 64.58, 314.89, 419.11, 380.78, 571.51, 458.17, 307.57
2021-04-14, 15:16, 810.03, 848.55, 477.31, 292.2, 148.27, 211.18, 330.23, 36.96, 223.23, 670.76, 155.71, 149.23, 276.35, 86.25, 567.36, 765.53, 364.5, 484.27, 269.08, 296.55, 185.04, 212.38, 90.69, 64.57, 315.02, 419.03, 380.63, 570.37, 457.87, 307.63
2021-04-14, 15:17, 810.33, 848.55, 477.5, 292.11, 148.16, 211.49, 330.29, 36.99, 223.36, 670.9, 155.61, 149.23, 276.3, 86.27, 567.12, 765.47, 364.29, 483.97, 269.02, 297, 184.98, 212.48, 90.69, 64.56, 315.1, 418.92, 380.55, 570.25, 457.87, 307.63
2021-04-14, 15:18, 810.14, 848.65, 477.8, 292.23, 148.16, 211.62, 330.42, 36.97, 223.38, 671.25, 155.7, 149.23, 276.55, 86.24, 566.94, 765.55, 364.18, 484, 269.18, 297.05, 184.98, 212.51, 90.69, 64.68, 315.15, 418.7, 380.55, 570.26, 457.87, 307.63
2021-04-14, 15:19, 810.71, 848.46, 477.73, 291.96, 148.1, 211.48, 330.42, 36.97, 223.22, 671.51, 155.73, 149.25, 276.41, 86.3, 567.27, 765.38, 364.05, 484.28, 269.03, 297.38, 185.01, 212.53, 90.68, 64.69, 315.15, 418.78, 380.42, 570.63, 458.04, 307.67
2021-04-14, 15:20, 811.03, 848.77, 477.6, 292.01, 148.14, 211.54, 330.55, 36.99, 223.22, 671.42, 155.71, 149.21, 276.32, 86.36, 566.89, 764.87, 363.89, 484.2, 268.97, 297.28, 185.05, 212.46, 90.68, 64.75, 315.24, 418.3, 380.42, 571.89, 458.04, 307.74
2021-04-14, 15:21, 811.3, 848.86, 477.22, 292.11, 148.19, 211.63, 330.55, 37, 223.07, 671.38, 155.72, 149.2, 276.44, 86.26, 566.66, 764.97, 363.89, 483.98, 268.95, 297.21, 185.03, 212.47, 90.61, 64.8, 315.1, 418.19, 380.42, 571.66, 458.04, 307.74
2021-04-14, 15:22, 811.17, 848.86, 477.34, 292.03, 148.14, 211.66, 330.3, 37, 223.05, 671.12, 155.8, 149.24, 276.71, 86.26, 566.23, 764.27, 363.66, 484.08, 268.95, 297.68, 184.64, 212.7, 90.4, 64.75, 315.39, 418.19, 380.57, 571.77, 458.58, 307.69
2021-04-14, 15:23, 811.15, 849.04, 477.8, 292.03, 148.19, 211.48, 330.3, 37, 223.09, 671.03, 155.85, 149.24, 276.74, 86.25, 566.28, 764.58, 363.69, 483.5, 268.92, 297.39, 184.72, 212.65, 90.4, 64.77, 314.99, 418.12, 380.52, 571.77, 458.22, 307.76
2021-04-14, 15:24, 811.23, 849.04, 477.41, 291.99, 148.06, 211.24, 330.43, 37, 223.03, 670.86, 155.96, 149.24, 276.84, 86.24, 565.91, 764.86, 363.8, 483.29, 268.97, 297.52, 184.74, 212.58, 90.39, 64.76, 315.09, 418.04, 380.87, 571.77, 458.04, 307.89
2021-04-14, 15:25, 811.15, 848.95, 477.39, 292.26, 148.03, 210.22, 330.3, 37.01, 222.98, 671.12, 155.81, 149.24, 276.95, 86.24, 566.52, 764.58, 364.23, 483.77, 269.11, 297.46, 184.58, 212.56, 90.39, 64.78, 315.04, 418.04, 380.78, 571.77, 458.63, 307.82
2021-04-14, 15:26, 811.29, 848.86, 477.38, 292.29, 148.05, 210.95, 330.23, 37.01, 222.98, 670.9, 155.86, 149.27, 276.59, 86.21, 566.8, 765.22, 364.3, 483.62, 269.07, 297.4, 184.83, 212.63, 90.54, 64.78, 315.09, 418.23, 380.97, 571.66, 458.46, 307.78
