serial,acronym,current_price,timestamp,market_cap,total_shares,stock_id,name,acronym,benefit_description,benefit_requirement
24211,EWM,269.1,1618504500,1737450522826,6456523682,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
24212,IOU,142.92,1618504500,3585539607572,25087738648,5,Insured On Us,IOU,"$12,000,000 every month",3000000
24213,GRN,216.49,1618504500,1683434286717,7776037169,6,Grain,GRN,"$4,000,000 every month",500000
24214,THS,328.95,1618504500,3694650506968,11231647688,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
24215,MCS,588.2,1618504500,11030931896137,18753709446,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
24216,WLT,448.77,1618504500,13023359262722,29020120023,30,Wind Lines Travel,WLT,Private Jet Access,9000000
24217,TSB,818.85,1618504500,9259949218939,11308480453,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
24218,YAZ,36.16,1618504500,1992035615097,55089480506,8,Yazoo,YAZ,Free Banner Advertising,1000000
24219,IIL,86.17,1618504500,1624933616399,18857300875,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
24220,SYS,474.92,1618504500,2720197451284,5727696141,3,Syscore MFG,SYS,an Advanced Firewall,3000000
24221,TCM,304.22,1618504500,538974116495,1771659051,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
24222,EVL,370.31,1618504500,2048189329971,5531012746,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
24223,TCT,226.79,1618504500,424842547815,1873286070,9,The Torn City Times,TCT,"$1,000,000 every month",100000
24224,MSG,155.35,1618504500,1888303037347,12155153121,11,Messaging Inc.,MSG,Free Classified Advertising,300000
24225,TGP,89.17,1618504500,1442503358223,16177003008,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
24226,TCB,889.76,1618504500,9398201773431,10562625622,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
24227,IST,315.27,1618504500,266808751476,846286521,26,International School TC,IST,Free Education Courses,100000
24228,TCC,304.32,1618504500,1548264429234,5087619707,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
24229,PRN,488.82,1618504500,7662353828839,15675205247,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
24230,ELT,181.97,1618504500,1353669332322,7438969788,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
24231,BAG,422.87,1618504500,2940957306475,6954755141,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
24232,LAG,301.47,1618504500,1851454470744,6141421935,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
24233,FHG,568.79,1618504500,22088808265404,38834733848,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
24234,SYM,739.1,1618504500,8760502666479,11852932846,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
24235,LSC,373.83,1618504500,2960424013807,7919171853,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
24236,HRG,209.39,1618504500,8876770798977,42393480104,22,Home Retail Group,HRG,1x Random Property,10000000
24237,WSU,64.58,1618504500,3608068294971,55869747522,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
24238,CNC,671.86,1618504500,2998152725894,4462466475,10,Crude & Co,CNC,"$80,000,000 every month",7500000
24239,TMI,153.24,1618504500,5353845157607,34937647857,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
24240,TCP,273.56,1618504500,1216234121119,4445950143,13,TC Media Productions,TCP,a Company Sales Boost,1000000
24241,MSG,154.64,1618506300,1879239155339,12152348392,11,Messaging Inc.,MSG,Free Classified Advertising,300000
24242,TSB,818.9,1618506300,9258890108323,11306496652,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
24243,GRN,216.41,1618506300,1682814509592,7776047824,6,Grain,GRN,"$4,000,000 every month",500000
24244,TMI,153.07,1618506300,5348055071286,34938623318,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
24245,TCP,273.31,1618506300,1215103356482,4445879611,13,TC Media Productions,TCP,a Company Sales Boost,1000000
24246,LSC,374.45,1618506300,2974498235713,7943645976,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
24247,BAG,422.41,1618506300,2893493898554,6849965433,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
24248,SYM,738.31,1618506300,8759024253571,11863613189,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
24249,TCT,227.32,1618506300,426000735863,1874013443,9,The Torn City Times,TCT,"$1,000,000 every month",100000
24250,TCM,304.51,1618506300,539789627748,1772649922,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
24251,EVL,370.92,1618506300,2061661853723,5558238579,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
24252,MCS,588.54,1618506300,11091475715735,18845746620,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
24253,IIL,86.08,1618506300,1559990751313,18122569137,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
24254,PRN,489,1618506300,7649431251855,15643008695,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
24255,WSU,64.83,1618506300,3552413255463,54795823777,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
24256,IOU,142.73,1618506300,3580821223502,25088076953,5,Insured On Us,IOU,"$12,000,000 every month",3000000
24257,FHG,568.08,1618506300,22079195512652,38866348952,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
24258,TGP,89.52,1618506300,1474442482356,16470537113,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
24259,IST,315.16,1618506300,266208407417,844677013,26,International School TC,IST,Free Education Courses,100000
24260,TCC,303.03,1618506300,1543109808707,5092267461,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
24261,YAZ,36.28,1618506300,1995830113223,55011855381,8,Yazoo,YAZ,Free Banner Advertising,1000000
24262,CNC,671.98,1618506300,2993339561446,4454506922,10,Crude & Co,CNC,"$80,000,000 every month",7500000
24263,EWM,268.19,1618506300,1731575086276,6456523682,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
24264,ELT,182.21,1618506300,1122989401274,6163160097,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
24265,HRG,209.44,1618506300,8861750909322,42311644907,22,Home Retail Group,HRG,1x Random Property,10000000
24266,WLT,451.02,1618506300,13131690760145,29115539799,30,Wind Lines Travel,WLT,Private Jet Access,9000000
24267,TCB,892.66,1618506300,9433502968963,10567856708,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
24268,SYS,473.79,1618506300,2708968206865,5717655938,3,Syscore MFG,SYS,an Advanced Firewall,3000000
24269,LAG,301.43,1618506300,1851440821524,6142191625,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
24270,THS,329.18,1618506300,4286235178087,13020946528,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
24271,HRG,209.31,1618507200,8856142600834,42311129907,22,Home Retail Group,HRG,1x Random Property,10000000
24272,TSB,818.65,1618507200,9258519262243,11309496442,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
24273,TCB,894.71,1618507200,9455189222866,10567881462,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
24274,LAG,301.47,1618507200,1851920103218,6142966475,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
24275,TCT,227.41,1618507200,426195549223,1874128443,9,The Torn City Times,TCT,"$1,000,000 every month",100000
24276,TGP,89.67,1618507200,1553402662144,17323549260,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
24277,TCC,303.22,1618507200,1544077339524,5092267461,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
24278,SYS,474.5,1618507200,2713027742581,5717655938,3,Syscore MFG,SYS,an Advanced Firewall,3000000
24279,MSG,154.5,1618507200,1877491476564,12152048392,11,Messaging Inc.,MSG,Free Classified Advertising,300000
24280,IST,315.11,1618507200,266166173566,844677013,26,International School TC,IST,Free Education Courses,100000
24281,GRN,216.46,1618507200,1683272004265,7776365168,6,Grain,GRN,"$4,000,000 every month",500000
24282,YAZ,36.29,1618507200,2011947026545,55440810872,8,Yazoo,YAZ,Free Banner Advertising,1000000
24283,CNC,672.14,1618507200,2994052282553,4454506922,10,Crude & Co,CNC,"$80,000,000 every month",7500000
24284,FHG,568.24,1618507200,22070123162282,38839439607,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
24285,SYM,738.06,1618507200,8760345131176,11869421363,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
24286,ELT,182.27,1618507200,1123358544004,6163156548,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
24287,PRN,489.22,1618507200,7652628047508,15642508580,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
24288,EWM,268.58,1618507200,1664264033846,6196530024,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
24289,TMI,153.05,1618507200,5347356412689,34938624062,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
